额外信息,国家名,id,最新更新时间,今日确诊,今日疑似,今日治愈,今日死亡,今日危重,今日待确诊,今日境外输入,总确诊数,总疑似数,总治愈数,总死亡数,总危重数,总境外输入数
{},巴西,951234567,2020-12-13 08:34:29,43900.0,,0.0,686.0,,,,6880127.0,0.0,6078287.0,181123.0,0.0,0.0
{},洪都拉斯,8115,2020-12-13 08:34:29,501.0,,0.0,0.0,,,,113708.0,0.0,51244.0,2971.0,0.0,0.0
{},乌拉圭,95394,2020-12-13 09:14:26,331.0,,214.0,1.0,,,,9180.0,0.0,6155.0,91.0,0.0,0.0
{},秘鲁,95390,2020-12-13 08:34:29,1832.0,,0.0,0.0,,,,980943.0,0.0,916249.0,36544.0,0.0,0.0
{},智利,956666,2020-12-13 08:34:29,1807.0,,0.0,0.0,,,,569781.0,0.0,543086.0,15846.0,0.0,0.0
{},格陵兰,95389,2020-06-15 00:00:31,,,,,,,,13.0,0.0,13.0,0.0,0.0,0.0
{},圣巴托洛谬岛,95382,2020-06-12 17:03:05,,,,,,,,6.0,0.0,6.0,0.0,0.0,
{},马尔代夫,950101010,2020-12-13 08:34:29,22.0,,19.0,0.0,,,,13348.0,0.0,12659.0,48.0,0.0,0.0
{},委内瑞拉,95384,2020-12-13 08:34:29,435.0,,0.0,0.0,,,,106715.0,0.0,101823.0,944.0,0.0,0.0
{},毛里塔尼亚,8134,2020-12-13 09:14:26,279.0,,65.0,12.0,,,,10780.0,0.0,8022.0,222.0,0.0,0.0
{},纳米比亚,8135,2020-06-15 00:00:31,,,,,,,,31.0,0.0,17.0,0.0,0.0,
{},法属留尼汪岛,8132,2020-06-15 13:04:24,,,,,,,,487.0,0.0,447.0,1.0,0.0,0.0
{},波多黎各,8133,2020-06-13 11:26:34,0.0,0.0,0.0,0.0,0.0,,0.0,5536.0,0.0,0.0,146.0,0.0,0.0
{},加纳,95732,2020-12-13 08:34:29,195.0,,158.0,1.0,,,,52933.0,0.0,51676.0,327.0,0.0,0.0
{},赤道几内亚,8136,2020-12-13 08:34:29,2.0,,0.0,0.0,,,,5185.0,0.0,5058.0,85.0,0.0,0.0
{},几内亚,8130,2020-12-13 08:34:29,22.0,,31.0,0.0,,,,13420.0,0.0,12657.0,79.0,0.0,0.0
{},卢旺达,8131,2020-12-13 08:34:29,100.0,,66.0,2.0,,,,6528.0,0.0,5892.0,56.0,0.0,0.0
{},格林纳达,80001,2020-06-15 00:00:31,,,,,,,,23.0,0.0,22.0,0.0,0.0,
{},斯威士兰,8129,2020-12-13 08:34:29,29.0,,52.0,1.0,,,,6714.0,0.0,6331.0,127.0,0.0,0.0
{},坦桑尼亚,8145,2020-12-13 08:34:29,0.0,,0.0,0.0,,,,509.0,0.0,183.0,21.0,0.0,0.0
{},贝宁,8146,2020-12-13 08:34:29,0.0,,0.0,0.0,,,,3090.0,0.0,2972.0,44.0,0.0,0.0
{},刚果（金）,8143,2020-12-13 08:34:29,173.0,,0.0,0.0,,,,14342.0,0.0,12465.0,352.0,0.0,0.0
{},中非共和国,8144,2020-12-13 08:34:29,9.0,,0.0,0.0,,,,4936.0,0.0,1924.0,63.0,0.0,0.0
{},利比里亚,8147,2020-12-13 08:34:29,0.0,,0.0,0.0,,,,1676.0,0.0,1358.0,83.0,0.0,0.0
{},索马里,8148,2020-12-13 08:34:29,0.0,,0.0,0.0,,,,4579.0,0.0,3529.0,121.0,0.0,0.0
{},塞拉利昂,95123456,2020-12-13 08:34:30,2.0,,0.0,0.0,,,,2440.0,0.0,1850.0,75.0,0.0,0.0
{},乍得,95XXXX,2020-12-13 08:34:29,6.0,,8.0,0.0,,,,1751.0,0.0,1603.0,102.0,0.0,0.0
{},赞比亚,8152,2020-12-13 08:34:29,56.0,,0.0,0.0,,,,18217.0,0.0,17339.0,366.0,0.0,0.0
{},巴巴多斯,8151,2020-06-15 13:01:51,,,,,,,,96.0,0.0,83.0,7.0,0.0,
{},马里,95mali,2020-12-13 08:34:29,72.0,,29.0,4.0,,,,5721.0,0.0,3566.0,189.0,0.0,0.0
{},阿根廷,958888,2020-12-13 08:34:29,5274.0,,5368.0,62.0,,,,1494602.0,0.0,1330160.0,40668.0,0.0,0.0
{},法属波利尼西亚,81113,2020-06-15 00:00:31,,,,,,,,60.0,0.0,60.0,0.0,0.0,
{},巴林,9584332,2020-12-13 08:34:29,145.0,,158.0,1.0,,,,88965.0,0.0,87025.0,348.0,0.0,0.0
{},莫桑比克,8168,2020-12-13 08:34:29,132.0,,2.0,1.0,,,,16812.0,0.0,14795.0,140.0,0.0,0.0
{},喀麦隆,95747,2020-12-13 08:34:29,56.0,,0.0,0.0,,,,25143.0,0.0,23851.0,443.0,0.0,0.0
{},乌干达,8165,2020-12-13 08:34:30,702.0,,98.0,0.0,,,,27071.0,0.0,9744.0,220.0,0.0,0.0
{},厄立特里亚,8166,2020-06-12 16:57:11,,,,,,,,41.0,0.0,39.0,0.0,0.0,
{},刚果（布）,95983,2020-12-13 08:34:30,0.0,,0.0,0.0,,,,6049.0,0.0,4988.0,99.0,0.0,0.0
{},津巴布韦,8162,2020-12-13 08:34:29,57.0,,35.0,1.0,,,,11219.0,0.0,9359.0,307.0,0.0,0.0
{},丹麦,956475,2020-12-13 08:34:29,3552.0,,1309.0,8.0,,,,107660.0,0.0,78760.0,935.0,0.0,0.0
{},阿鲁巴,81344,2020-06-15 14:48:41,,,,,,,,101.0,0.0,98.0,3.0,0.0,0.0
{},斐济,95776,2020-12-13 08:34:30,0.0,,0.0,0.0,,,,44.0,0.0,35.0,2.0,0.0,0.0
{},伯利兹,8172,2020-12-13 08:34:29,160.0,,0.0,0.0,,,,8965.0,0.0,4219.0,185.0,0.0,0.0
{},缅甸,8173,2020-12-13 08:34:29,1352.0,,0.0,0.0,,,,107215.0,0.0,85406.0,2245.0,0.0,0.0
{},塞浦路斯,9568067,2020-12-13 08:34:30,827.0,,0.0,5.0,,,,14476.0,0.0,2057.0,75.0,0.0,0.0
{},关岛,81134,2020-06-14 00:00:31,,,,,,,,183.0,0.0,143.0,5.0,0.0,0.0
{},科索沃,888779,2020-06-15 10:21:59,,,,,,,,1326.0,0.0,921.0,31.0,0.0,0.0
{},圣皮埃尔岛和密克隆岛,95860612,2020-06-12 17:03:41,,,,,,,,1.0,0.0,1.0,0.0,0.0,0.0
{},吉尔吉斯斯坦,95251456,2020-12-13 08:34:29,341.0,,0.0,0.0,,,,77059.0,0.0,69794.0,1307.0,0.0,0.0
{},博茨瓦纳,8197,2020-06-15 00:00:31,,0.0,,,0.0,,,60.0,0.0,24.0,1.0,0.0,
{},尼日尔,95309,2020-12-13 08:34:29,39.0,,7.0,0.0,,,,2199.0,0.0,1276.0,80.0,0.0,0.0
{},苏里南,95305,2020-12-13 09:14:26,1.0,,1.0,0.0,,,,5340.0,0.0,5221.0,117.0,0.0,0.0
{},佛得角,95306,2020-12-13 08:34:29,40.0,,28.0,0.0,,,,11302.0,0.0,10922.0,110.0,0.0,0.0
{},萨尔瓦多,95786,2020-12-13 09:14:26,231.0,,196.0,0.0,,,,41394.0,0.0,37667.0,1193.0,0.0,0.0
{},圭亚那,95303,2020-06-15 13:51:31,,0.0,,,0.0,,,159.0,0.0,99.0,12.0,0.0,
{},尼加拉瓜,95787,2020-12-13 08:34:29,0.0,,0.0,0.0,,,,5887.0,0.0,4225.0,162.0,0.0,0.0
{},冈比亚,95783,2020-06-15 00:00:31,,0.0,,,0.0,,,28.0,0.0,24.0,1.0,0.0,
{},东帝汶,9523416782,2020-06-12 16:58:23,,,,,,,,24.0,0.0,24.0,0.0,0.0,
{},巴基斯坦,950777,2020-12-13 08:34:29,2729.0,,0.0,0.0,,,,435056.0,0.0,381208.0,8724.0,0.0,0.0
{},埃及,9577890,2020-12-13 08:34:29,478.0,,211.0,21.0,,,,121089.0,0.0,104710.0,6898.0,0.0,0.0
{},科威特,9577665,2020-12-13 08:34:30,255.0,,256.0,1.0,,,,146044.0,0.0,141825.0,911.0,0.0,0.0
{},斯洛伐克,95903,2020-12-13 08:34:29,3707.0,,1883.0,26.0,,,,130794.0,0.0,95416.0,1148.0,0.0,0.0
{},直布罗陀,95904,2020-06-15 13:47:38,0.0,0.0,0.0,0.0,0.0,,0.0,176.0,0.0,173.0,0.0,0.0,0.0
{},摩纳哥,959333,2020-06-16 00:00:31,,,,,,,,99.0,0.0,93.0,4.0,0.0,
{},巴拉圭,9509765,2020-12-13 09:14:26,800.0,,676.0,10.0,,,,92913.0,0.0,65852.0,1937.0,0.0,0.0
{},荷属安的列斯,856671,2020-06-12 16:58:47,,,,,,,,22.0,0.0,15.0,1.0,0.0,
{},多米尼克,95711,2020-06-15 00:00:31,,,,,,,,18.0,0.0,16.0,0.0,0.0,
{},乌兹别克斯坦,95703,2020-12-13 08:34:29,147.0,,0.0,0.0,,,,74811.0,0.0,72084.0,612.0,0.0,0.0
{},黑山,95293,2020-12-13 08:34:30,402.0,,152.0,9.0,,,,40948.0,0.0,29614.0,578.0,0.0,0.0
{},危地马拉,95294,2020-12-13 08:34:29,558.0,,602.0,29.0,,,,129099.0,0.0,117615.0,4405.0,0.0,0.0
{},加蓬,95290,2020-12-13 08:34:29,30.0,,0.0,0.0,,,,9330.0,0.0,9182.0,63.0,0.0,0.0
{},苏丹,95291,2020-12-13 08:34:29,303.0,,372.0,4.0,,,,21147.0,0.0,12227.0,1344.0,0.0,0.0
{},利比亚,87435,2020-12-13 08:34:29,0.0,,0.0,0.0,,,,89880.0,0.0,59839.0,1278.0,0.0,0.0
{},圣马丁岛,95287,2020-06-15 14:48:56,,,,,,,,77.0,0.0,61.0,15.0,0.0,
{},土耳其,95046,2020-12-13 08:34:29,32106.0,,0.0,0.0,,,,955766.0,0.0,452593.0,15751.0,0.0,0.0
{},巴布亚新几内亚,95047,2020-06-12 17:02:54,,,,,,,,8.0,0.0,8.0,0.0,0.0,
{},多米尼加,95000011,2020-12-13 08:34:29,1133.0,,739.0,1.0,,,,153585.0,0.0,119616.0,2360.0,0.0,0.0
{},约旦,95076,2020-12-13 08:34:29,1816.0,,3598.0,49.0,,,,257275.0,0.0,213344.0,3335.0,0.0,0.0
{},亚美尼亚,9532556,2020-12-13 08:34:29,995.0,,0.0,0.0,,,,147312.0,0.0,124521.0,2462.0,0.0,0.0
{},圣基茨和尼维斯,811192,2020-06-12 17:01:29,,,,,,,,15.0,0.0,15.0,0.0,0.0,
{},瓜德罗普,89665,2020-06-15 13:49:44,,0.0,,,0.0,,,171.0,0.0,157.0,14.0,0.0,
{},安提瓜和巴布达,94367,2020-12-13 09:14:26,1.0,,0.0,0.0,,,,148.0,0.0,138.0,4.0,0.0,0.0
{},玻利维亚,95215,2020-12-13 08:34:29,312.0,,0.0,0.0,,,,146697.0,0.0,125886.0,9013.0,0.0,0.0
