国家名,日期,确诊病例,死亡病例,康复病例
阿富汗,9/29/20,39254,1460,32746
阿富汗,9/30/20,39268,1460,32789
阿富汗,10/1/20,39285,1460,32842
阿富汗,10/2/20,39290,1460,32842
阿富汗,10/3/20,39297,1464,32842
阿富汗,10/4/20,39341,1464,32852
阿富汗,10/5/20,39422,1468,32879
阿富汗,10/6/20,39486,1469,32977
阿富汗,10/7/20,39548,1471,33045
阿富汗,10/8/20,39616,1472,33058
阿富汗,10/9/20,39693,1474,33058
阿富汗,10/10/20,39703,1475,33064
阿富汗,10/11/20,39799,1479,33114
阿富汗,10/12/20,39870,1481,33118
阿富汗,10/13/20,39928,1482,33308
阿富汗,10/14/20,39994,1483,33354
阿富汗,10/15/20,40026,1483,33447
阿富汗,10/16/20,40088,1487,33516
阿富汗,10/17/20,40141,1490,33561
阿富汗,10/18/20,40200,1494,33614
阿富汗,10/19/20,40287,1499,33760
阿富汗,10/20/20,40369,1501,33790
阿富汗,10/21/20,40510,1503,33824
阿富汗,10/22/20,40626,1507,33831
阿富汗,10/23/20,40687,1509,34010
阿富汗,10/24/20,40768,1513,34023
阿富汗,10/25/20,40833,1516,34129
阿富汗,10/26/20,40937,1520,34150
阿富汗,10/27/20,41032,1525,34217
阿富汗,10/28/20,41145,1531,34237
阿富汗,10/29/20,41268,1534,34239
阿富汗,10/30/20,41334,1535,34258
阿富汗,10/31/20,41425,1538,34321
阿富汗,11/1/20,41501,1538,34326
阿富汗,11/2/20,41633,1544,34342
阿富汗,11/3/20,41728,1547,34355
阿富汗,11/4/20,41814,1551,34362
阿富汗,11/5/20,41935,1557,34440
阿富汗,11/6/20,41975,1557,34440
阿富汗,11/7/20,42033,1559,34446
阿富汗,11/8/20,42159,1565,34458
阿富汗,11/9/20,42297,1577,34721
阿富汗,11/10/20,42463,1580,34954
阿富汗,11/11/20,42609,1584,34967
阿富汗,11/12/20,42795,1594,35024
阿富汗,11/13/20,42969,1598,35036
阿富汗,11/14/20,43035,1608,35067
阿富汗,11/15/20,43240,1620,35092
阿富汗,11/16/20,43468,1635,35137
阿富汗,11/17/20,43681,1641,35160
