日期,确诊病例,预测病例,国家名
12/17/20,151.0,150.749569620799,安提瓜和巴布达
12/18/20,152.0,151.44568834465318,安提瓜和巴布达
12/19/20,152.0,152.06962323035623,安提瓜和巴布达
12/20/20,153.0,152.63714611227078,安提瓜和巴布达
12/21/20,153.0,153.1626015663607,安提瓜和巴布达
12/22/20,153.0,153.65890691019106,安提瓜和巴布达
12/23/20,154.0,154.13755220292813,安提瓜和巴布达
12/24/20,154.0,154.60860024533935,安提瓜和巴布达
12/25/20,155.0,155.0806865797934,安提瓜和巴布达
12/26/20,155.0,155.56101949026018,安提瓜和巴布达
12/27/20,155.0,156.05538000231073,安提瓜和巴布达
12/28/20,158.0,156.56812188311736,安提瓜和巴布达
12/29/20,158.0,157.1021716414536,安提瓜和巴布达
12/30/20,158.0,157.65902852769406,安提瓜和巴布达
12/31/20,159.0,158.2387645338147,安提瓜和巴布达
1/1/21,159.0,158.84002439339264,安提瓜和巴布达
1/2/21,159.0,159.46002558160612,安提瓜和巴布达
1/3/21,160.0,160.09455831523474,安提瓜和巴布达
1/4/21,160.0,160.73798555265915,安提瓜和巴布达
1/5/21,160.0,161.3832429938613,安提瓜和巴布达
1/6/21,163.0,162.02183908042434,安提瓜和巴布达
1/7/21,163.0,162.6438549955326,安提瓜和巴布达
1/8/21,167.0,163.23794466397155,安提瓜和巴布达
1/9/21,169.0,163.791334752128,安提瓜和巴布达
1/10/21,176.0,164.2898246679899,安提瓜和巴布达
1/11/21,176.0,164.71778656114637,安提瓜和巴布达
1/12/21,176.0,165.05816532278777,安提瓜和巴布达
01/13/21,,165.2924785857057,安提瓜和巴布达
01/14/21,,165.4008167242929,安提瓜和巴布达
01/15/21,,165.36184285454334,安提瓜和巴布达
01/16/21,,165.15279283405215,安提瓜和巴布达
01/17/21,,164.74947526201578,安提瓜和巴布达
01/18/21,,164.12627147923183,安提瓜和巴布达
01/19/21,,163.25613556809898,安提瓜和巴布达
12/14/20,1503222.0,1503793.8426761688,阿根廷
12/15/20,1510203.0,1510596.7988506511,阿根廷
12/16/20,1517046.0,1517186.0481683011,阿根廷
12/17/20,1524372.0,1523603.68788329,阿根廷
12/18/20,1531374.0,1529891.237602249,阿根廷
12/19/20,1537169.0,1536089.6392842692,阿根廷
12/20/20,1541285.0,1542239.2572409017,阿根廷
12/21/20,1547138.0,1548379.8781361578,阿根廷
12/22/20,1555279.0,1554550.7109865088,阿根廷
12/23/20,1563865.0,1560790.3871608858,阿根廷
12/24/20,1563865.0,1567136.96038068,阿根廷
12/25/20,1574554.0,1573627.9067197426,阿根廷
12/26/20,1578267.0,1580300.1246043849,阿根廷
12/27/20,1583297.0,1587189.9348133781,阿根廷
12/28/20,1590513.0,1594333.0804779534,阿根廷
12/29/20,1602163.0,1601764.727081802,阿根廷
12/30/20,1613928.0,1609519.462461075,阿根廷
12/31/20,1625514.0,1617631.2968043839,阿根廷
1/1/21,1629594.0,1626133.6626527996,阿根廷
1/2/21,1634834.0,1635059.4148998535,阿根廷
1/3/21,1640718.0,1644440.830791537,阿根廷
1/4/21,1648940.0,1654309.609926301,阿根廷
1/5/21,1662730.0,1664696.8742550567,阿根廷
1/6/21,1676171.0,1675633.1680811758,阿根廷
1/7/21,1690006.0,1687148.458060489,阿根廷
1/8/21,1703352.0,1699272.1332012878,阿根廷
1/9/21,1714409.0,1712033.0048643234,阿根廷
1/10/21,1722217.0,1725459.306762807,阿根廷
1/11/21,1730921.0,1739578.6949624103,阿根廷
1/12/21,1744704.0,1754418.2478812637,阿根廷
01/13/21,,1770004.466289959,阿根廷
01/14/21,,1786363.2733115475,阿根廷
01/15/21,,1803520.0144215398,阿根廷
01/16/21,,1821499.457447908,阿根廷
01/17/21,,1840325.792571083,阿根廷
01/18/21,,1860022.632323956,阿根廷
01/19/21,,1880613.011591878,阿根廷
12/14/20,148682.0,148479.6931918709,亚美尼亚
12/15/20,149120.0,149458.39245506166,亚美尼亚
12/16/20,150218.0,150385.70798575872,亚美尼亚
12/17/20,151392.0,151263.26885357668,亚美尼亚
12/18/20,152253.0,152092.69651934708,亚美尼亚
12/19/20,153173.0,152875.60483511843,亚美尼亚
12/20/20,153825.0,153613.60004415622,亚美尼亚
12/21/20,154065.0,154308.28078094285,亚美尼亚
12/22/20,154602.0,154961.2380711777,亚美尼亚
12/23/20,155440.0,155574.0553317771,亚美尼亚
12/24/20,156142.0,156148.30837087438,亚美尼亚
12/25/20,156763.0,156685.5653878197,亚美尼亚
12/26/20,157349.0,157187.3869731803,亚美尼亚
12/27/20,157834.0,157655.32610874038,亚美尼亚
12/28/20,157948.0,158090.92816750097,亚美尼亚
12/29/20,158296.0,158495.73091368016,亚美尼亚
12/30/20,158878.0,158871.26450271296,亚美尼亚
12/31/20,159409.0,159219.05148125137,亚美尼亚
1/1/21,159738.0,159540.60678716432,亚美尼亚
1/2/21,159798.0,159837.43774953764,亚美尼亚
1/3/21,160027.0,160111.0440886742,亚美尼亚
1/4/21,160220.0,160362.91791609387,亚美尼亚
1/5/21,160544.0,160594.54373453325,亚美尼亚
1/6/21,160853.0,160807.39843794616,亚美尼亚
1/7/21,161054.0,161002.95131150322,亚美尼亚
1/8/21,161415.0,161182.66403159202,亚美尼亚
1/9/21,161794.0,161347.9906658172,亚美尼亚
1/10/21,162131.0,161500.3776730002,亚美尼亚
1/11/21,162288.0,161641.26390317956,亚美尼亚
1/12/21,162643.0,161772.08059761068,亚美尼亚
01/13/21,,161894.251388766,亚美尼亚
01/14/21,,162009.1923003348,亚美尼亚
01/15/21,,162118.31174722343,亚美尼亚
01/16/21,,162223.01053555513,亚美尼亚
01/17/21,,162324.68186267008,亚美尼亚
01/18/21,,162424.7113171255,亚美尼亚
01/19/21,,162524.4768786955,亚美尼亚
12/14/20,28048.0,28032.41467727666,澳大利亚
12/15/20,28060.0,28060.460565870915,澳大利亚
12/16/20,28072.0,28087.075789028615,澳大利亚
12/17/20,28093.0,28112.5138263037,澳大利亚
12/18/20,28126.0,28137.00438312319,澳大利亚
12/19/20,28168.0,28160.75339078717,澳大利亚
12/20/20,28198.0,28183.943006468806,澳大利亚
12/21/20,28219.0,28206.73161321435,澳大利亚
12/22/20,28237.0,28229.253819943115,澳大利亚
12/23/20,28262.0,28251.620461447506,澳大利亚
12/24/20,28274.0,28273.918598392997,澳大利亚
12/25/20,28297.0,28296.211517318134,澳大利亚
12/26/20,28308.0,28318.53873063455,澳大利亚
12/27/20,28337.0,28340.915976626948,澳大利亚
12/28/20,28349.0,28363.335219453103,澳大利亚
12/29/20,28381.0,28385.764649143883,澳大利亚
12/30/20,28405.0,28408.148681603216,澳大利亚
12/31/20,28425.0,28430.407958608113,澳大利亚
1/1/21,28460.0,28452.43934780866,澳大利亚
1/2/21,28484.0,28474.11594272803,澳大利亚
1/3/21,28504.0,28495.28706276245,澳大利亚
1/4/21,28517.0,28515.778253181248,澳大利亚
1/5/21,28536.0,28535.391285126818,澳大利亚
1/6/21,28546.0,28553.904155614622,澳大利亚
1/7/21,28571.0,28571.071087533215,澳大利亚
1/8/21,28582.0,28586.62252964422,澳大利亚
1/9/21,28595.0,28600.265156582336,澳大利亚
1/10/21,28614.0,28611.68186885534,澳大利亚
1/11/21,28634.0,28620.531792844085,澳大利亚
1/12/21,28650.0,28626.450280802506,澳大利亚
01/13/21,,28629.048910857604,澳大利亚
01/14/21,,28627.915487009468,澳大利亚
01/15/21,,28622.614039131255,澳大利亚
01/16/21,,28612.6848229692,澳大利亚
01/17/21,,28597.644320142623,澳大利亚
01/18/21,,28576.98523814391,澳大利亚
01/19/21,,28550.176510338526,澳大利亚
12/14/20,325051.0,325169.23884466453,奥地利
12/15/20,327679.0,327795.18140287517,奥地利
12/16/20,330343.0,330254.8402695964,奥地利
12/17/20,332828.0,332572.9460608726,奥地利
12/18/20,334913.0,334772.5288367325,奥地利
12/19/20,337209.0,336874.9181011891,奥地利
12/20/20,338854.0,338899.7428022395,奥地利
12/21/20,340373.0,340864.93133186526,奥地利
12/22/20,342226.0,342786.7115260321,奥地利
12/23/20,344357.0,344679.61066469003,奥地利
12/24/20,347204.0,346556.4554717733,奥地利
12/25/20,349055.0,348428.3721152004,奥地利
12/26/20,350484.0,350304.7862068742,奥地利
12/27/20,351892.0,352193.4228026817,奥地利
12/28/20,353484.0,354100.3064024942,奥地利
12/29/20,355352.0,356029.7609501674,奥地利
12/30/20,357902.0,357984.4098335409,奥地利
12/31/20,360815.0,359965.175884439,奥地利
1/1/21,362911.0,361971.2813786701,奥地利
1/2/21,364302.0,364000.2480360266,奥地利
1/3/21,365768.0,366047.89702028554,奥地利
1/4/21,367410.0,368108.3489392081,奥地利
1/5/21,369721.0,370174.0238445396,奥地利
1/6/21,372190.0,372235.64123200974,奥地利
1/7/21,374730.0,374282.22004133253,奥地利
1/8/21,376793.0,376301.078656206,奥地利
1/9/21,379071.0,378277.83490431285,奥地利
1/10/21,380722.0,380196.4060573196,奥地利
1/11/21,382258.0,382039.0088308773,奥地利
1/12/21,383833.0,383786.15938462125,奥地利
01/13/21,,385416.6733221709,奥地利
01/14/21,,386907.66569113004,奥地利
01/15/21,,388234.5509830867,奥地利
01/16/21,,389371.04313361325,奥地利
01/17/21,,390289.15552226617,奥地利
01/18/21,,390959.20097258623,奥地利
01/19/21,,391349.7917520986,奥地利
12/14/20,178986.0,178713.40990274365,阿塞拜疆
12/15/20,183259.0,183448.81788978222,阿塞拜疆
12/16/20,187336.0,187769.7362037047,阿塞拜疆
12/17/20,191460.0,191699.90297241777,阿塞拜疆
12/18/20,195422.0,195262.7537506391,阿塞拜疆
12/19/20,199127.0,198481.4215198973,阿塞拜疆
12/20/20,202088.0,201378.73668853205,阿塞拜疆
12/21/20,203593.0,203977.22709169393,阿塞拜疆
12/22/20,205877.0,206299.11799134454,阿塞拜疆
12/23/20,208211.0,208366.33207625637,阿塞拜疆
12/24/20,210061.0,210200.489462013,阿塞拜疆
12/25/20,211764.0,211822.90769100896,阿塞拜疆
12/26/20,213192.0,213254.60173244972,阿塞拜疆
12/27/20,214711.0,214516.28398235174,阿塞拜疆
12/28/20,215483.0,215628.36426354243,阿塞拜疆
12/29/20,216584.0,216610.94982566027,阿塞拜疆
12/30/20,217636.0,217483.84534515458,阿塞拜疆
12/31/20,218700.0,218266.5529252858,阿塞拜疆
1/1/21,219041.0,218978.27209612523,阿塞拜疆
1/2/21,219462.0,219637.89981455525,阿塞拜疆
1/3/21,220265.0,220264.03046426913,阿塞拜疆
1/4/21,220599.0,220874.9558557711,阿塞拜疆
1/5/21,221401.0,221488.66522637653,阿塞拜疆
1/6/21,222200.0,222122.84524021158,阿塞拜疆
